,rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold
7127,3.0,2.0,91,-23.5734564,-46.6214881,863691,3,94,0
6641,3.0,2.0,225,-23.6287179,-46.6378696,1431390,2,87,1
4540,2.0,1.0,93,-23.551919,-46.649332,692332,1,24,1
4780,4.0,2.0,230,-23.5425168,-46.6619489,2237120,1,90,1
69,3.0,1.0,115,-23.5453576,-46.6873612,1111470,2,68,1
8167,4.0,5.0,498,-23.5357188,-46.6595386,9748200,2,90,1
1569,3.0,2.0,96,-23.532598,-46.685157,1085800,1,43,1
2712,4.0,3.0,233,-23.6405169,-46.6966892,2560030,3,3,0
12464,4.0,3.0,236,-23.6256943,-46.7183279,2812700,3,107,0
5396,2.0,1.0,65,-23.5541148,-46.6781983,666860,2,44,1
2721,4.0,3.0,351,-23.6390494,-46.7007211,3719380,3,18,1
14956,3.0,1.0,68,-23.5592443,-46.5967818,484679,1,6,0
15131,4.0,2.0,142,-23.5604609,-46.5952115,1211410,1,119,0
5567,2.0,1.0,90,-23.5447065,-46.6760149,887567,2,95,1
7214,3.0,2.0,82,-23.5897875,-46.6180883,859276,1,44,1
1553,4.0,5.0,310,-23.5369646,-46.713074,4304800,3,158,0
13475,4.0,3.0,193,-23.5932779,-46.6512394,1562940,3,116,0
1903,3.0,2.0,252,-23.6248962,-46.6721765,2295900,3,19,1
14874,3.0,2.0,146,-23.5815131,-46.6068136,1054530,3,3,1
5902,1.0,1.0,50,-23.6089795,-46.630734,350701,3,48,1
16602,4.0,3.0,246,-23.6271223,-46.6440676,2805980,2,3,1
16902,3.0,1.0,117,-23.5598117,-46.6656801,1266070,1,9,0
1979,4.0,3.0,219,-23.626672,-46.6681684,2798740,2,16,1
14377,3.0,1.0,140,-23.5779909,-46.6356803,971030,3,4,0
8523,2.0,1.0,57,-23.5289137,-46.6645204,606501,2,66,1
16106,3.0,3.0,157,-23.5998751,-46.6476606,1439530,2,6,1
5494,2.0,1.0,57,-23.5541148,-46.6781983,584785,3,20,0
17695,4.0,2.0,122,-23.5531106,-46.5717714,1046650,3,10,0
17304,3.0,1.0,146,-23.5661641,-46.6446704,1512280,3,6,1
1472,2.0,1.0,85,-23.5386927,-46.6810863,636059,3,127,0
7174,2.0,1.0,57,-23.5748032,-46.6140622,297708,3,14,1
13007,3.0,2.0,121,-23.634343,-46.731027,516055,3,1,1
7427,4.0,3.0,305,-23.5297561,-46.6832,2855170,3,19,1
8551,3.0,1.0,130,-23.5380553,-46.6681915,1014240,2,50,0
15315,2.0,3.0,125,-23.5943934,-46.6843771,1818050,3,14,1
14775,4.0,4.0,335,-23.5767089,-46.602818,2900190,3,28,0
16207,4.0,3.0,175,-23.6076719,-46.6552541,2292050,2,89,0
1995,2.0,1.0,64,-23.6472832,-46.6648439,392454,3,98,1
2571,2.0,2.0,75,-23.6165257,-46.6736534,927795,2,95,0
17023,3.0,1.0,184,-23.5625246,-46.6665619,2264030,2,37,0
8771,4.0,4.0,250,-23.5803735,-46.6734559,2932070,1,15,0
2206,4.0,2.0,216,-23.6165268,-46.6726448,2024160,3,139,1
14950,3.0,1.0,63,-23.5710051,-46.6062829,617331,3,6,1
16476,2.0,1.0,60,-23.621942,-46.640194,301154,3,39,0
2644,1.0,1.0,83,-23.6239366,-46.6828173,1032290,3,73,1
13675,3.0,3.0,240,-23.5754416,-46.6460858,2176560,3,36,1
13279,3.0,3.0,162,-23.5784719,-46.635058,1694900,3,82,0
2106,2.0,1.0,55,-23.6421976,-46.6623375,311394,2,2,1
1506,2.0,1.0,70,-23.5513742,-46.6895759,755923,3,38,1
3306,1.0,1.0,48,-23.5598962,-46.6845886,453933,3,1,1
13844,3.0,1.0,120,-23.5804363,-46.6481853,871042,3,168,0
13026,1.0,1.0,67,-23.6188346,-46.6853719,970063,3,20,1
3722,3.0,2.0,156,-23.5899414,-46.6706419,2158840,1,30,1
7507,2.0,1.0,57,-23.5367858,-46.6783199,718018,2,15,0
16642,4.0,4.0,350,-23.6013538,-46.6645492,3907830,3,129,0
314,5.0,2.0,272,-23.537683,-46.703218,2207680,3,13,1
6308,4.0,3.0,170,-23.5940481,-46.6077557,1512120,3,5,1
10546,1.0,1.0,44,-23.5713888,-46.6529866,596382,3,6,0
8940,2.0,1.0,87,-23.5805172,-46.6759063,908213,2,31,1
3784,4.0,5.0,360,-23.5960917,-46.6662069,10179600,3,69,0
7483,4.0,5.0,225,-23.5351036,-46.6758663,2559560,2,4,0
11607,3.0,4.0,212,-23.6178904,-46.7396075,2147670,3,65,1
4214,3.0,2.0,130,-23.535977,-46.655578,1417350,2,33,1
7039,2.0,1.0,50,-23.5729151,-46.6244667,249590,3,177,0
6004,2.0,1.0,50,-23.621326,-46.6330343,450110,3,26,0
6905,3.0,1.0,119,-23.5618614,-46.6227173,1006970,3,51,1
4728,1.0,1.0,48,-23.5481527,-46.6545917,537906,3,72,0
6909,3.0,2.0,92,-23.5761061,-46.614439,916025,3,29,1
11611,2.0,1.0,72,-23.612855,-46.6836298,664305,3,70,0
2647,3.0,3.0,98,-23.6245686,-46.6849182,963893,3,132,0
14596,3.0,1.0,107,-23.5605304,-46.6763811,1064340,3,10,0
14870,1.0,1.0,37,-23.5728136,-46.5913191,221422,3,5,1
3947,2.0,2.0,73,-23.5996725,-46.6692759,1326930,3,29,1
13942,3.0,1.0,115,-23.5843807,-46.6467362,1001670,3,12,1
14065,3.0,2.0,140,-23.5746752,-46.6501367,1170130,2,3,1
11844,4.0,4.0,234,-23.6263042,-46.7234676,1896590,3,27,1
9356,3.0,1.0,125,-23.5850197,-46.6867806,1331350,2,88,0
23,3.0,1.0,64,-23.5197194,-46.7242167,638730,2,69,1
9510,4.0,2.0,251,-23.5663389,-46.6664934,3390140,2,57,1
7295,1.0,1.0,35,-23.5367253,-46.6674186,393813,2,67,1
3509,2.0,1.0,65,-23.5985308,-46.6732474,728786,3,150,0
16658,4.0,4.0,240,-23.6005462,-46.6647563,3434480,2,33,0
8993,3.0,3.0,208,-23.588596,-46.6857935,2715630,3,10,0
3528,4.0,4.0,217,-23.599805,-46.6713642,2689940,3,155,0
2947,2.0,2.0,118,-23.5538683,-46.6863422,1572410,1,70,0
12041,3.0,1.0,69,-23.6087973,-46.7234669,403399,3,105,1
6329,3.0,2.0,93,-23.5976781,-46.6062357,743807,2,47,1
13121,4.0,3.0,187,-23.5960112,-46.64136,1999090,3,39,1
13123,2.0,1.0,56,-23.573762,-46.63976,447511,2,54,1
14450,1.0,1.0,49,-23.587501,-46.632405,556910,3,18,1
3958,4.0,3.0,353,-23.5914895,-46.6676003,4382630,3,7,1
16227,1.0,1.0,49,-23.6029875,-46.6699779,516948,2,170,1
14319,3.0,3.0,351,-23.5757385,-46.6487913,3670500,3,15,0
2924,1.0,1.0,58,-23.5592611,-46.6827549,792675,2,28,1
4923,3.0,2.0,130,-23.539018,-46.6610299,1432780,3,8,1
1270,4.0,3.0,260,-23.5530989,-46.7007106,3350160,3,6,1
16782,1.0,1.0,45,-23.6038318,-46.6648111,643965,2,16,1
14518,4.0,4.0,190,-23.5834617,-46.6505157,2903390,3,11,1
10169,3.0,1.0,400,-23.5631967,-46.6613989,4028780,1,22,1
14013,2.0,1.0,72,-23.5816661,-46.6333277,609260,3,15,1
4504,2.0,1.0,120,-23.5410883,-46.6549216,773244,3,39,1
15699,4.0,4.0,223,-23.6102727,-46.655971,3321180,2,14,1
2342,4.0,3.0,173,-23.6170546,-46.6710816,1905360,3,57,0
13608,3.0,1.0,110,-23.57105,-46.6509763,1047580,3,62,1
8156,1.0,2.0,85,-23.5334836,-46.6815253,948171,3,112,0
11020,2.0,2.0,78,-23.6296121,-46.7324896,734254,3,10,0
3949,4.0,3.0,225,-23.5954755,-46.6711483,4364840,3,97,1
6873,2.0,1.0,70,-23.6317693,-46.6371466,508533,2,50,1
8377,1.0,1.0,50,-23.4986439,-46.6223243,293939,2,2,1
3706,4.0,2.0,150,-23.6037554,-46.6715764,1343900,3,4,1
8113,3.0,2.0,107,-23.536281,-46.6809342,1236140,2,3,1
11330,4.0,5.0,473,-23.6331291,-46.7335682,4402900,3,8,1
4776,2.0,1.0,85,-23.5565046,-46.6556639,771019,3,28,1
12790,3.0,3.0,202,-23.6041301,-46.6945577,2889520,3,1,1
3683,2.0,3.0,198,-23.5963444,-46.6674675,4330870,3,118,1
17639,2.0,1.0,65,-23.5697405,-46.6353003,595962,3,32,0
13207,2.0,1.0,72,-23.5910282,-46.649307,933369,3,91,0
15907,2.0,1.0,73,-23.6019232,-46.6677704,765496,2,57,0
859,3.0,1.0,90,-23.5321513,-46.7139222,691071,1,66,1
7375,3.0,2.0,132,-23.5396252,-46.6700455,1227770,3,25,1
17541,3.0,2.0,250,-23.5716095,-46.6323596,2214910,3,35,0
12692,3.0,2.0,121,-23.6361373,-46.7390978,1442110,3,0,1
17107,2.0,3.0,250,-23.5642203,-46.6691005,3005060,3,113,0
8082,4.0,5.0,332,-23.5329342,-46.6783255,4621490,3,162,0
9231,3.0,1.0,119,-23.5816624,-46.6766737,1323800,3,28,1
3048,3.0,2.0,92,-23.5869864,-46.7177788,841780,2,80,1
7563,3.0,1.0,130,-23.4979091,-46.6259063,866783,3,16,1
3974,4.0,4.0,282,-23.6028739,-46.6724447,3772280,3,40,1
154,2.0,1.0,59,-23.5391364,-46.7175758,425361,3,137,1
2928,3.0,1.0,140,-23.5654723,-46.6898317,1230440,3,22,1
2480,2.0,1.0,70,-23.6325527,-46.6903552,356385,1,31,1
8882,3.0,2.0,130,-23.5833037,-46.6722366,2055060,3,59,1
6107,2.0,1.0,67,-23.6010016,-46.6110058,642651,3,33,0
9346,4.0,4.0,335,-23.5866369,-46.6840587,6607240,1,85,0
1465,4.0,3.0,130,-23.5539091,-46.6928325,1407990,2,27,1
9869,2.0,1.0,115,-23.567607,-46.658593,1260510,3,28,1
1238,2.0,1.0,117,-23.5396723,-46.6818921,1130800,2,79,0
10019,3.0,2.0,160,-23.5665029,-46.6597559,1991510,3,124,1
8533,2.0,1.0,69,-23.5045065,-46.6400248,509597,3,11,1
5876,2.0,1.0,126,-23.609446,-46.630666,936667,3,31,0
4059,3.0,1.0,97,-23.5408977,-46.6519375,867152,3,11,0
16256,2.0,2.0,215,-23.6109025,-46.6608563,2326530,3,118,1
14805,3.0,2.0,108,-23.5600023,-46.6048803,799870,3,0,0
16462,2.0,1.0,60,-23.6113834,-46.6397136,455982,3,24,0
16379,5.0,4.0,510,-23.5991164,-46.6619416,4938950,3,69,0
11498,4.0,3.0,150,-23.6277097,-46.7334237,1319590,3,27,1
3142,2.0,1.0,75,-23.564354,-46.6910481,828450,3,82,1
11669,2.0,1.0,47,-23.6287331,-46.7293031,366329,3,92,1
4459,3.0,1.0,100,-23.541139,-46.6530675,899376,3,125,1
12463,5.0,12.0,1700,-23.5990914,-46.6988452,36947700,3,19,0
1780,4.0,3.0,150,-23.5529283,-46.6910753,1791200,3,125,0
5018,3.0,1.0,174,-23.5454554,-46.6544003,1949910,2,95,0
13502,3.0,2.0,115,-23.5843807,-46.6467362,1001670,3,140,0
16002,4.0,7.0,421,-23.607725,-46.65607,10250100,2,13,1
4627,3.0,1.0,130,-23.5404191,-46.6584474,1299290,3,45,1
1106,3.0,3.0,129,-23.5388583,-46.7132246,1569620,3,142,0
10568,4.0,2.0,330,-23.5630761,-46.6646973,5020690,3,54,1
13520,3.0,3.0,98,-23.587962,-46.6403353,920061,3,16,1
17091,3.0,1.0,130,-23.555457,-46.664769,1139080,3,111,1
651,4.0,3.0,115,-23.533842,-46.705423,1280510,3,24,0
5557,1.0,1.0,58,-23.5553773,-46.675586,559813,2,27,0
6265,2.0,1.0,55,-23.6102744,-46.6325367,490071,3,29,1
11055,4.0,4.0,200,-23.6112022,-46.7056435,1629200,3,48,1
8853,3.0,2.0,200,-23.5799257,-46.6924086,2407440,2,65,1
14543,4.0,4.0,282,-23.5940577,-46.6301759,3183850,3,68,1
10238,3.0,2.0,240,-23.5658982,-46.6576231,2661870,3,52,0
12560,4.0,4.0,430,-23.6092537,-46.7083479,2538070,3,176,0
6059,2.0,1.0,64,-23.6149515,-46.6331335,563664,3,66,1
10721,3.0,2.0,190,-23.5685282,-46.6624489,1911220,3,81,0
11812,3.0,3.0,247,-23.6052762,-46.704461,2220960,3,0,1
14883,4.0,3.0,178,-23.5520013,-46.5935742,1167540,3,3,1
13564,2.0,2.0,70,-23.5910282,-46.649307,907442,2,29,1
2303,4.0,2.0,180,-23.6197437,-46.6768887,1726820,2,16,0
16706,1.0,1.0,52,-23.6106664,-46.6633281,553887,3,50,0
11593,2.0,2.0,214,-23.6326974,-46.7351007,1609310,3,4,0
3662,3.0,1.0,110,-23.601605,-46.6702246,1043120,1,65,0
9214,4.0,3.0,230,-23.5834154,-46.678994,2532420,3,55,0
13797,3.0,1.0,114,-23.5779548,-46.6486995,1031270,3,9,0
6333,3.0,3.0,184,-23.6168576,-46.6229374,1377450,3,116,0
9578,4.0,4.0,635,-23.5632558,-46.663832,11707600,3,53,1
11840,2.0,1.0,47,-23.633358,-46.7379012,370926,3,20,1
4977,2.0,1.0,49,-23.5577425,-46.6501944,489096,3,113,0
4307,4.0,4.0,450,-23.5493002,-46.6606939,6227510,3,94,0
14347,4.0,1.0,214,-23.5711206,-46.6447663,1880810,3,12,1
772,2.0,1.0,62,-23.5448712,-46.6927129,521386,2,41,1
1573,3.0,2.0,245,-23.53811,-46.703523,1678800,3,134,1
12206,4.0,4.0,220,-23.6295948,-46.7225614,1674990,1,90,1
6006,3.0,2.0,117,-23.6143879,-46.6347219,1051360,3,116,0
1578,4.0,5.0,396,-23.554153,-46.7142958,5320870,2,61,0
165,4.0,2.0,156,-23.5553804,-46.7377458,1098580,3,17,0
9601,3.0,2.0,500,-23.5688922,-46.6616369,6381630,2,23,0
12291,4.0,4.0,150,-23.633878,-46.7340741,1064150,3,39,1
876,4.0,6.0,574,-23.5331205,-46.7165281,7538840,3,51,0
13221,3.0,3.0,160,-23.577105,-46.648782,2110600,3,4,0
2734,4.0,5.0,398,-23.6255749,-46.6706481,4977320,3,18,1
11187,3.0,3.0,131,-23.6256943,-46.7183279,1561290,3,0,0
10272,3.0,3.0,178,-23.5699482,-46.6631361,3076290,2,31,0
4247,3.0,3.0,230,-23.5467901,-46.6574441,2577470,3,56,1
3690,3.0,3.0,160,-23.5919709,-46.6666006,2225190,3,51,1
2000,3.0,2.0,106,-23.6152031,-46.6788158,1017700,3,42,0
1646,3.0,2.0,88,-23.5259145,-46.6896604,845422,2,24,1
17910,3.0,1.0,74,-23.5611669,-46.578667,446334,3,37,1
8774,4.0,4.0,267,-23.5884708,-46.6853226,3039330,1,5,1
16101,3.0,2.0,125,-23.6098451,-46.6625354,1483160,3,80,1
53,4.0,2.0,120,-23.5341397,-46.6918775,1236790,2,55,1
5024,3.0,1.0,186,-23.5455219,-46.6512043,1405370,3,134,0
7740,3.0,2.0,130,-23.539033,-46.6691875,1066260,3,117,0
6846,2.0,2.0,85,-23.60883,-46.613139,896188,3,26,1
8183,3.0,1.0,131,-23.5346414,-46.6590115,1111780,3,2,0
13557,2.0,1.0,90,-23.5708823,-46.6492092,1036050,3,17,1
3196,3.0,2.0,105,-23.5543218,-46.6887728,1046610,3,92,0
6254,4.0,3.0,286,-23.6163665,-46.6235206,1740810,3,147,1
2481,4.0,3.0,220,-23.6160227,-46.6776615,1958390,3,29,0
209,3.0,2.0,75,-23.5844702,-46.7343333,486904,2,103,0
9751,5.0,7.0,725,-23.5711767,-46.6598617,13438100,3,159,0
9021,3.0,2.0,157,-23.5873465,-46.6732971,2622930,3,60,1
14250,1.0,1.0,35,-23.5800043,-46.6434965,228702,3,144,0
12471,2.0,2.0,90,-23.6088424,-46.7253142,1072640,1,16,1
6342,3.0,3.0,154,-23.6071452,-46.6328304,1585410,3,123,1
15628,3.0,3.0,300,-23.6096319,-46.6416984,2416450,3,43,1
8034,3.0,1.0,67,-23.4986313,-46.6386129,452672,2,15,1
14930,3.0,2.0,77,-23.5792996,-46.5894969,530482,1,23,1
2147,4.0,4.0,270,-23.6276318,-46.6735386,3333500,3,63,1
4701,1.0,1.0,33,-23.5540928,-46.6501995,463426,3,55,1
8011,2.0,1.0,61,-23.4984597,-46.6363498,583757,2,26,0
8582,2.0,1.0,44,-23.5284347,-46.6757414,402659,2,68,1
6419,1.0,1.0,38,-23.6146928,-46.6359152,299989,3,25,0
12855,3.0,3.0,152,-23.6317798,-46.706369,1375500,3,16,1
9620,4.0,2.0,210,-23.5720558,-46.6608593,2808370,3,39,1
2758,4.0,2.0,150,-23.6165119,-46.6791327,1216000,3,36,1
17042,1.0,1.0,44,-23.5616491,-46.6680293,645485,1,22,1
13024,4.0,4.0,186,-23.6264887,-46.7235274,1771940,3,3,0
11709,3.0,2.0,100,-23.6107827,-46.7325008,798644,3,105,1
4805,2.0,1.0,80,-23.5485791,-46.6486552,707481,3,15,1
15013,4.0,3.0,247,-23.5503549,-46.5926433,1832240,3,35,1
13330,4.0,5.0,342,-23.5922222,-46.6277778,6414750,3,48,1
15557,3.0,1.0,183,-23.5961654,-46.682337,1758580,3,83,0
4898,3.0,4.0,400,-23.5387403,-46.6565971,5849320,3,120,1
3960,3.0,7.0,417,-23.5935174,-46.6676371,9177550,3,99,0
13866,4.0,8.0,622,-23.5810646,-46.6537866,10100200,3,99,0
16516,1.0,1.0,51,-23.6070385,-46.6674609,740397,2,21,1
7077,3.0,2.0,76,-23.5759528,-46.6154498,650236,3,35,1
13650,4.0,4.0,200,-23.5824371,-46.6487452,1945800,1,30,1
12054,2.0,2.0,50,-23.6287331,-46.7293031,389711,3,16,0
17497,1.0,1.0,46,-23.5711581,-46.6332644,389250,2,134,0
9154,4.0,4.0,250,-23.578361,-46.6698801,2485590,3,58,0
13668,1.0,1.0,38,-23.5733426,-46.6455614,610088,3,60,1
1439,2.0,2.0,80,-23.5314508,-46.6898653,924216,1,10,1
2312,4.0,4.0,260,-23.617452,-46.6769247,2373200,3,104,0
11063,2.0,3.0,182,-23.6343185,-46.7242968,1638520,3,175,0
16955,1.0,1.0,30,-23.5600355,-46.6671196,463538,1,96,0
5394,3.0,2.0,130,-23.5571674,-46.6785156,1272500,1,2,0
13958,3.0,1.0,108,-23.5906641,-46.6368662,971011,3,17,1
7841,2.0,2.0,97,-23.536986,-46.6610407,1153390,2,60,1
7816,4.0,2.0,176,-23.5297561,-46.6832,1647570,2,7,1
3248,2.0,1.0,76,-23.5614705,-46.6863474,810860,2,31,1
5059,4.0,2.0,550,-23.5473877,-46.6564476,3805640,3,86,0
501,2.0,1.0,57,-23.5365695,-46.7188533,603011,2,34,0
4282,3.0,2.0,267,-23.5446105,-46.6559471,2426430,3,38,0
2918,2.0,1.0,110,-23.5655332,-46.6823858,1043060,2,40,1
11391,1.0,1.0,34,-23.6119326,-46.6815287,427284,3,104,0
15978,2.0,2.0,54,-23.5978865,-46.6500247,674167,1,12,1
4288,2.0,1.0,97,-23.5462333,-46.6546905,657141,3,51,0
11495,1.0,2.0,51,-23.6174935,-46.7354312,378637,3,85,0
15014,3.0,2.0,72,-23.5550925,-46.5884413,456460,1,33,1
1269,4.0,4.0,520,-23.5511278,-46.6994326,7338930,1,103,0
1135,3.0,3.0,226,-23.5306491,-46.7260287,2148420,3,46,1
11233,3.0,3.0,260,-23.6080363,-46.7021718,2131020,3,26,1
12170,3.0,1.0,75,-23.5914741,-46.7215035,509395,3,5,0
13786,3.0,1.0,200,-23.5968975,-46.6448314,1755270,1,9,1
2556,4.0,2.0,178,-23.6161665,-46.6770057,1906070,2,102,1
7558,4.0,4.0,254,-23.5353506,-46.6800386,2896840,2,3,0
6687,3.0,1.0,51,-23.6305591,-46.6198818,274936,2,12,1
4172,4.0,4.0,370,-23.5475265,-46.6616043,4146360,3,148,0
3366,2.0,1.0,41,-23.5646218,-46.695627,520880,3,57,0
8477,3.0,2.0,107,-23.4972239,-46.6320562,612682,3,35,0
15837,2.0,1.0,70,-23.6019907,-46.6600678,1120240,3,15,1
2030,3.0,5.0,300,-23.6205175,-46.6792849,3778090,3,123,0
13062,2.0,2.0,75,-23.6179112,-46.7364976,700977,3,110,0
6910,3.0,3.0,90,-23.5750191,-46.6138341,714962,3,108,1
10948,4.0,4.0,397,-23.6254795,-46.7315669,3492520,3,65,1
15222,4.0,4.0,285,-23.5903849,-46.6852661,4704840,3,14,1
9535,2.0,3.0,121,-23.5676858,-46.6521149,2070960,2,9,1
13319,2.0,1.0,90,-23.5889563,-46.6457352,809176,3,6,1
6247,4.0,3.0,193,-23.6129473,-46.6244062,1757190,3,93,0
12090,2.0,1.0,58,-23.63904,-46.735637,371633,3,14,0
15207,2.0,1.0,55,-23.598008,-46.6809931,633621,3,78,1
15271,2.0,1.0,72,-23.5916812,-46.6732131,724813,2,64,1
16784,2.0,1.0,50,-23.6417264,-46.648996,318982,2,53,0
7424,3.0,2.0,74,-23.4997082,-46.6389224,456919,2,21,1
17752,4.0,5.0,381,-23.555613,-46.5682135,3766000,2,80,1
538,3.0,2.0,91,-23.530408,-46.704633,975166,3,14,1
6204,3.0,3.0,327,-23.5928676,-46.6246589,3071210,3,1,0
15104,4.0,3.0,120,-23.5650862,-46.5910806,1010540,3,13,1
4348,3.0,1.0,120,-23.5562439,-46.6594673,1088500,3,97,1
13308,1.0,1.0,31,-23.5715729,-46.6464213,336443,3,25,1
4028,4.0,4.0,425,-23.5929823,-46.6701592,8450650,3,134,0
3709,3.0,2.0,190,-23.6017929,-46.6732601,2317590,3,99,0
13861,3.0,2.0,108,-23.5834698,-46.6393169,1423150,3,52,0
6427,3.0,3.0,176,-23.6161492,-46.6236937,1304810,3,83,1
10727,3.0,2.0,130,-23.5680938,-46.6540934,1364600,2,168,0
15090,4.0,2.0,137,-23.5608129,-46.6057828,1014650,3,56,1
15092,2.0,1.0,82,-23.5600023,-46.6048803,607309,3,43,0
5574,3.0,2.0,180,-23.542832,-46.677318,1575650,2,49,0
5448,1.0,1.0,43,-23.5569675,-46.6776829,522852,2,64,1
3789,5.0,6.0,468,-23.5967968,-46.6630922,10982300,3,83,1
11352,3.0,3.0,290,-23.609697,-46.7092596,1848940,1,124,0
10352,3.0,1.0,136,-23.5624173,-46.6513163,1162460,2,112,0
11172,3.0,1.0,64,-23.5945672,-46.7277993,394023,3,32,0
734,2.0,1.0,72,-23.5413485,-46.6884464,707642,2,42,1
1919,2.0,1.0,70,-23.6196947,-46.6741432,770956,2,41,0
15784,4.0,4.0,220,-23.6098854,-46.6573741,2601430,3,134,0
16506,3.0,3.0,142,-23.6098603,-46.6563144,2618900,3,0,0
4051,3.0,2.0,220,-23.6002627,-46.6703418,2758740,1,7,1
12563,3.0,1.0,63,-23.633358,-46.7379012,497199,3,35,1
9327,3.0,2.0,240,-23.5826019,-46.6869526,5660260,3,28,1
12823,2.0,1.0,45,-23.6091614,-46.7235403,288669,3,78,1
8345,3.0,2.0,110,-23.4916249,-46.6282496,1052680,3,9,0
12455,4.0,4.0,240,-23.6078986,-46.7067954,1821770,3,59,0
17258,2.0,2.0,71,-23.5674177,-46.6340402,600798,2,31,0
9706,3.0,2.0,150,-23.5707437,-46.6554384,1657070,2,48,1
8370,4.0,3.0,189,-23.5150717,-46.6874771,2214530,3,20,1
4595,2.0,1.0,80,-23.5401935,-46.6555082,720197,3,57,1
811,3.0,2.0,113,-23.551872,-46.6983997,1566090,2,24,0
5735,4.0,3.0,252,-23.6129473,-46.6244062,2294360,3,21,0
17307,3.0,1.0,170,-23.5744474,-46.6318197,1286450,3,39,0
2621,1.0,1.0,29,-23.6282888,-46.6637808,310539,2,11,0
8402,3.0,3.0,140,-23.5367809,-46.6797935,1475900,2,73,1
13700,3.0,4.0,119,-23.5818397,-46.6474249,1422090,2,6,0
6306,2.0,1.0,56,-23.6351969,-46.6377036,382807,3,175,0
15020,2.0,1.0,63,-23.5543852,-46.5894219,530535,3,11,1
8342,3.0,1.0,171,-23.535107,-46.656272,1424930,3,118,0
7744,2.0,1.0,68,-23.5349153,-46.6782141,598996,3,14,0
6988,2.0,1.0,68,-23.5816954,-46.6139222,355133,1,56,0
3116,1.0,1.0,92,-23.5633842,-46.6851977,972389,3,37,0
867,4.0,6.0,561,-23.5604772,-46.7009285,8611350,2,17,1
840,3.0,4.0,356,-23.54586,-46.7168856,4108770,3,42,1
837,3.0,2.0,67,-23.575499,-46.7330456,378000,2,133,0
11282,2.0,1.0,62,-23.6124391,-46.6794743,688415,3,29,1
11069,4.0,2.0,157,-23.6257665,-46.7310478,916382,3,6,0
239,3.0,3.0,217,-23.5452767,-46.697075,2594280,3,86,1
12525,4.0,3.0,118,-23.6274109,-46.6960813,1017740,1,54,0
4979,1.0,1.0,52,-23.5520517,-46.6547297,691830,1,26,1
4635,3.0,2.0,136,-23.5410297,-46.6580185,1520420,3,86,1
1776,3.0,1.0,78,-23.5283058,-46.7302384,822573,3,36,1
14699,3.0,1.0,138,-23.5613211,-46.6031008,930454,1,16,1
10055,2.0,1.0,400,-23.5626119,-46.6530421,3005070,2,26,1
2754,3.0,1.0,85,-23.6249905,-46.6692179,910201,2,26,1
13634,4.0,4.0,421,-23.5860494,-46.6446796,5271850,3,107,0
17493,2.0,1.0,81,-23.572139,-46.6371124,576746,2,136,0
14304,3.0,2.0,84,-23.581666,-46.6347642,1038230,2,73,1
12682,4.0,3.0,250,-23.6126087,-46.7078709,1748680,3,23,1
14418,1.0,1.0,30,-23.584093,-46.6349294,328369,3,5,0
12843,1.0,1.0,86,-23.6188346,-46.6853719,1245160,3,41,1
17399,3.0,2.0,122,-23.5699005,-46.6334929,988263,2,86,1
13806,4.0,3.0,270,-23.599417,-46.6335162,2425060,3,158,0
2694,4.0,3.0,129,-23.6250151,-46.6842224,1583650,2,31,1
2059,4.0,3.0,145,-23.6248811,-46.6701055,2057890,2,38,0
17063,2.0,1.0,130,-23.5606783,-46.6680018,1362680,2,30,1
9391,2.0,2.0,117,-23.5849814,-46.6801292,1880420,2,37,1
3504,4.0,3.0,180,-23.5935822,-46.6703314,2411610,3,24,0
8074,4.0,4.0,184,-23.5341848,-46.6784252,1847470,3,99,1
14607,3.0,1.0,273,-23.5628149,-46.6758076,2536980,3,65,0
8831,5.0,6.0,501,-23.5831081,-46.6898574,13179900,3,151,0
10954,4.0,3.0,251,-23.6283027,-46.7213996,1613630,3,1,0
12611,3.0,2.0,143,-23.6069003,-46.7050032,1107070,2,7,1
16288,4.0,2.0,137,-23.6025422,-46.6495244,1199790,2,50,0
5792,3.0,1.0,51,-23.6305591,-46.6198818,274936,2,83,1
487,2.0,1.0,105,-23.5192679,-46.7048253,474512,2,21,0
5115,2.0,1.0,139,-23.5438047,-46.6565642,1151080,3,25,1
15321,2.0,2.0,130,-23.5917602,-46.6754322,1894550,3,25,1
6375,3.0,1.0,103,-23.6280464,-46.6337065,909028,2,50,1
9329,2.0,1.0,98,-23.5808121,-46.6799774,1372250,2,21,0
8541,4.0,4.0,295,-23.5398018,-46.6728923,4522560,3,3,1
432,2.0,1.0,60,-23.5407094,-46.7142671,730241,2,9,1
7511,2.0,1.0,60,-23.5025697,-46.6375375,400054,2,8,1
12820,3.0,4.0,234,-23.6122389,-46.6826438,2139520,3,53,0
11103,4.0,4.0,412,-23.611243,-46.68112,3541170,3,21,0
16417,2.0,1.0,70,-23.6420549,-46.6434013,355946,2,1,1
4531,2.0,1.0,82,-23.5541584,-46.6589569,743807,3,29,0
841,4.0,5.0,530,-23.5566697,-46.6950875,5755330,3,27,1
10570,4.0,3.0,240,-23.572649,-46.6567574,4660860,3,64,0
5719,4.0,2.0,129,-23.6117731,-46.6327801,1192940,3,22,1
14188,3.0,2.0,114,-23.5760528,-46.6466851,1209780,2,74,1
