,rooms,garages,useful_area,latitude,longitude,value,interior_quality
15324,4.0,5.0,420,-23.5899485,-46.6839468,8038870,2
819,3.0,2.0,88,-23.533593,-46.702886,1014740,3
4856,3.0,1.0,103,-23.5545946,-46.6587845,811149,3
11432,4.0,3.0,287,-23.6123964,-46.7294402,1489030,3
1758,3.0,2.0,120,-23.5265862,-46.7285872,1290950,3
15506,3.0,3.0,277,-23.5951632,-46.6756901,3409870,3
17485,3.0,2.0,120,-23.5713184,-46.6349529,832444,2
3198,1.0,2.0,97,-23.5856859,-46.7216433,731727,2
12616,3.0,2.0,110,-23.626573,-46.7359636,663028,3
13832,4.0,3.0,296,-23.5721857,-46.6475331,2646440,3
15431,4.0,3.0,119,-23.6000081,-46.6878647,1682990,3
11477,3.0,1.0,64,-23.6194625,-46.7315866,563883,3
11516,3.0,3.0,145,-23.634509,-46.729274,1088710,3
11378,3.0,2.0,104,-23.6194625,-46.7315866,916310,3
1000,3.0,2.0,97,-23.5380994,-46.6818737,1089280,3
10067,4.0,3.0,380,-23.5652657,-46.6590367,5200640,3
17700,4.0,3.0,104,-23.5352452,-46.575463,825273,3
4279,2.0,1.0,75,-23.5389308,-46.6532721,840479,3
9125,4.0,2.0,167,-23.578312,-46.69018,3946100,1
16512,3.0,2.0,200,-23.6135309,-46.6627197,2130550,1
17358,3.0,3.0,340,-23.5724296,-46.6360481,3126330,2
497,4.0,3.0,150,-23.5523872,-46.6990676,1796010,3
11443,3.0,2.0,135,-23.6148459,-46.6825676,1278180,3
8727,2.0,1.0,84,-23.5859104,-46.674002,1058540,2
2816,3.0,2.0,96,-23.6212564,-46.6859984,934099,3
6220,3.0,2.0,74,-23.625747,-46.6366331,776006,3
590,3.0,6.0,530,-23.5467382,-46.6929256,4623370,3
10315,2.0,1.0,82,-23.5624692,-46.6492706,688441,2
14675,3.0,1.0,118,-23.5621401,-46.6764303,1068090,3
534,4.0,5.0,359,-23.5566697,-46.6950875,3898420,1
5816,4.0,4.0,132,-23.6186442,-46.6335015,1570220,3
12946,4.0,4.0,425,-23.6117601,-46.732601,2559890,3
116,2.0,2.0,117,-23.5246801,-46.6907584,1101930,1
7683,2.0,1.0,73,-23.532725,-46.657972,790920,3
9849,4.0,3.0,327,-23.5627533,-46.6611511,4859320,3
3970,4.0,6.0,408,-23.6014386,-46.6701736,6601170,3
15032,3.0,1.0,86,-23.5795014,-46.6058364,633562,1
1253,3.0,2.0,145,-23.5328905,-46.7257936,1696320,2
1396,3.0,2.0,196,-23.5601585,-46.7002101,2307150,3
12788,4.0,2.0,136,-23.6100895,-46.7383496,1200060,1
7276,2.0,1.0,58,-23.4918169,-46.6361307,386718,2
6316,3.0,3.0,230,-23.60899,-46.636834,1768470,2
17722,3.0,3.0,128,-23.55302,-46.567842,848990,3
15574,1.0,1.0,38,-23.5960736,-46.6757419,607271,3
2499,2.0,1.0,105,-23.6304648,-46.691721,690735,3
8350,3.0,3.0,228,-23.5314047,-46.6682215,2864670,1
11484,4.0,5.0,665,-23.6069837,-46.7074659,4729630,3
10266,2.0,1.0,98,-23.5672995,-46.6496754,1142230,2
13463,3.0,3.0,161,-23.5834698,-46.6393169,2121550,3
5428,4.0,3.0,160,-23.5575887,-46.6784376,1344590,2
10410,4.0,2.0,168,-23.5616567,-46.6598384,2464580,3
12064,4.0,3.0,410,-23.6132778,-46.6843195,4135530,3
9196,2.0,1.0,86,-23.5881229,-46.6730384,953458,3
3552,2.0,2.0,134,-23.5963444,-46.6674675,2930990,3
17536,3.0,2.0,76,-23.5684055,-46.630195,833940,2
17363,2.0,2.0,64,-23.567813,-46.6432811,900937,3
1201,3.0,2.0,132,-23.536618,-46.703061,1418470,2
748,3.0,4.0,165,-23.539899,-46.68044,1712450,2
15503,1.0,1.0,45,-23.5961093,-46.6796928,608910,3
4061,4.0,5.0,400,-23.5466637,-46.6562893,4662330,3
15393,4.0,3.0,123,-23.5931454,-46.6855574,2080440,3
2673,1.0,1.0,70,-23.6355461,-46.6646865,553220,2
6908,3.0,1.0,108,-23.5721126,-46.6254552,628697,3
3319,2.0,2.0,85,-23.5635219,-46.6889798,918857,3
16962,3.0,2.0,220,-23.5614057,-46.6661858,3227430,1
16561,3.0,2.0,158,-23.6026259,-46.6440309,1329980,2
2073,4.0,4.0,183,-23.6265506,-46.685373,2478900,2
5390,3.0,1.0,86,-23.5512511,-46.6801488,832003,1
13739,3.0,1.0,65,-23.5941419,-46.64864,549819,3
15931,2.0,1.0,70,-23.6038001,-46.6679546,849698,3
1703,3.0,3.0,93,-23.5258711,-46.7045335,955268,1
14237,3.0,4.0,225,-23.5953646,-46.6496719,2541210,3
8934,4.0,4.0,340,-23.5859859,-46.6865382,4257060,2
3763,2.0,1.0,77,-23.5987549,-46.6686881,776704,1
12596,4.0,3.0,171,-23.6316946,-46.7294364,1629910,3
17370,2.0,1.0,50,-23.5744485,-46.632681,311910,3
2962,1.0,1.0,57,-23.5651494,-46.6954307,545651,2
5131,3.0,4.0,500,-23.5448582,-46.6518649,4080810,3
15465,1.0,2.0,126,-23.5949698,-46.6784541,2014840,3
11476,3.0,3.0,250,-23.6267977,-46.730333,1779580,2
11449,2.0,2.0,92,-23.6253182,-46.7310531,1096480,3
14386,2.0,1.0,90,-23.5817398,-46.6360475,543309,3
9594,3.0,2.0,210,-23.5648129,-46.6628007,2603710,1
3843,3.0,3.0,273,-23.5922658,-46.6667875,4652330,3
17812,2.0,1.0,68,-23.5565757,-46.5705581,478831,3
5370,2.0,1.0,120,-23.5599334,-46.6721842,1497070,2
13548,3.0,3.0,118,-23.5851697,-46.6475067,1660940,3
578,4.0,3.0,167,-23.541104,-46.685575,1883690,1
4948,3.0,2.0,144,-23.5385162,-46.6563173,1613720,3
5138,3.0,1.0,126,-23.5383651,-46.6614965,1412000,3
2282,3.0,2.0,214,-23.6276387,-46.6734743,2049890,3
2357,4.0,4.0,284,-23.6270591,-46.6695079,3003880,3
7234,4.0,2.0,135,-23.580986,-46.618195,979261,2
12666,4.0,3.0,173,-23.5911488,-46.719962,1824680,3
7748,4.0,4.0,350,-23.5097595,-46.6507406,2595440,3
14240,4.0,4.0,215,-23.5771695,-46.6465035,3468120,2
6348,4.0,3.0,110,-23.6072369,-46.6324197,1044740,3
52,2.0,1.0,58,-23.523908,-46.690369,519269,3
15695,2.0,1.0,100,-23.6104798,-46.6609109,1037550,1
17381,3.0,1.0,110,-23.5705517,-46.6389924,701323,2
12429,2.0,1.0,52,-23.6228566,-46.7262469,462161,3
10054,4.0,2.0,245,-23.5679116,-46.6637724,2749060,3
13555,4.0,2.0,138,-23.5912458,-46.6282995,1211410,3
16680,2.0,1.0,49,-23.633197,-46.6407974,388161,2
8578,3.0,2.0,119,-23.5383964,-46.6768113,1374770,2
12468,2.0,2.0,140,-23.6011079,-46.7161175,1718800,3
9076,4.0,4.0,230,-23.5818017,-46.6733419,2784400,3
6454,3.0,2.0,260,-23.6202118,-46.6357593,2316700,2
5286,4.0,4.0,240,-23.5378377,-46.6574434,2600730,3
4314,3.0,1.0,130,-23.5409928,-46.6574978,1171810,3
14397,3.0,3.0,116,-23.5891374,-46.6276642,1416140,3
145,2.0,2.0,72,-23.531686,-46.705281,805312,3
11966,4.0,3.0,183,-23.6126227,-46.7051096,1234880,2
12943,4.0,4.0,238,-23.6064711,-46.6902922,3243420,3
12037,4.0,3.0,235,-23.6177356,-46.7371884,1642950,3
17617,2.0,1.0,68,-23.57575,-46.63583,626223,3
4864,2.0,1.0,110,-23.5381339,-46.6602624,1232700,3
14019,4.0,2.0,170,-23.5740769,-46.6493415,1723310,3
6260,3.0,1.0,75,-23.6002679,-46.6203513,428094,2
17716,3.0,2.0,103,-23.5375434,-46.5769555,873353,2
15841,1.0,1.0,65,-23.6363929,-46.6408903,414677,3
16898,3.0,1.0,115,-23.5602755,-46.6637606,1269220,3
15970,1.0,1.0,79,-23.6070132,-46.6553993,1122510,1
15359,2.0,2.0,91,-23.5969383,-46.6771562,1423900,3
14681,1.0,1.0,30,-23.5581227,-46.6806149,407140,2
17330,3.0,1.0,110,-23.5640045,-46.6424378,1051520,2
4949,4.0,3.0,347,-23.5453598,-46.6547291,3852500,3
8287,3.0,2.0,89,-23.4939184,-46.6249645,603224,3
13317,4.0,4.0,411,-23.5713528,-46.6507629,5475940,2
2906,4.0,3.0,182,-23.6193129,-46.6788997,1620290,3
15412,1.0,2.0,80,-23.5961949,-46.6820759,944867,2
17784,2.0,1.0,62,-23.5588285,-46.5797017,303759,3
12302,4.0,3.0,132,-23.6106286,-46.6811719,1506070,3
2211,3.0,2.0,100,-23.6447148,-46.670722,882547,3
11811,3.0,1.0,84,-23.604875,-46.6941388,779896,3
12787,4.0,4.0,250,-23.6340748,-46.7330906,1653760,2
10314,3.0,2.0,159,-23.5619977,-46.6601488,1908140,3
8123,4.0,2.0,136,-23.535553,-46.6775868,1091790,3
13628,2.0,1.0,70,-23.5957886,-46.6430432,614343,3
2747,4.0,4.0,290,-23.6266656,-46.6712169,2538050,2
5946,3.0,2.0,144,-23.60883,-46.613139,1518250,3
3003,4.0,2.0,115,-23.5640075,-46.6845369,1426510,2
9889,3.0,2.0,204,-23.5668794,-46.6594206,2467460,3
16549,3.0,3.0,140,-23.6005563,-46.6654519,1371580,1
13337,2.0,1.0,118,-23.5745858,-46.6430151,1085030,3
6397,2.0,1.0,70,-23.603222,-46.62092,486301,3
334,3.0,2.0,95,-23.5319574,-46.7288623,971497,3
1586,2.0,2.0,62,-23.5257335,-46.6911725,602136,2
2941,2.0,1.0,56,-23.5897776,-46.7179469,372823,3
4821,3.0,2.0,160,-23.5408977,-46.6519375,1430350,3
9887,2.0,1.0,130,-23.5740472,-46.6585927,1627490,2
4676,3.0,1.0,119,-23.5382645,-46.6592311,1333560,1
2349,3.0,2.0,126,-23.6228101,-46.6822275,1387140,2
5523,4.0,3.0,240,-23.5593206,-46.6725355,2786520,2
1518,4.0,2.0,182,-23.5513556,-46.7185483,1607760,3
12323,4.0,4.0,190,-23.6112779,-46.7051818,1355980,3
7013,3.0,1.0,90,-23.5687129,-46.6281803,761575,1
7049,4.0,2.0,159,-23.5824909,-46.628411,1740350,1
13360,4.0,3.0,142,-23.5730185,-46.6494875,1573130,3
1023,4.0,4.0,250,-23.5604978,-46.6990308,2585730,3
10000,5.0,4.0,370,-23.5666482,-46.6607077,4392260,3
4636,3.0,1.0,109,-23.5528952,-46.6555597,988719,3
7722,3.0,4.0,311,-23.5097595,-46.6507406,2306240,3
795,4.0,4.0,326,-23.5271707,-46.696204,3730460,3
2449,4.0,3.0,320,-23.6459005,-46.6997452,2533580,2
9335,2.0,2.0,88,-23.5881904,-46.6721856,1194880,3
7831,3.0,1.0,130,-23.5358937,-46.6617668,1294170,2
14572,3.0,3.0,210,-23.5581124,-46.6792236,2676090,3
4360,4.0,1.0,210,-23.539915,-46.6594229,1995000,3
14393,4.0,4.0,216,-23.5778957,-46.6375347,2137140,3
11817,1.0,1.0,59,-23.6171629,-46.7315267,297940,3
17290,3.0,2.0,133,-23.5685984,-46.6346432,1383160,2
13925,2.0,1.0,70,-23.5834644,-46.6450119,629359,2
6192,4.0,2.0,137,-23.606105,-46.616972,1174860,3
6372,4.0,3.0,255,-23.6097638,-46.6195302,2396210,2
10703,2.0,1.0,52,-23.5586326,-46.6515022,472747,3
6105,2.0,1.0,127,-23.60295,-46.617781,967038,3
5940,3.0,2.0,86,-23.6255018,-46.6377571,775022,3
7019,3.0,2.0,78,-23.587333,-46.6160455,817360,3
11785,3.0,1.0,86,-23.6361373,-46.7390978,1024970,3
11469,2.0,2.0,103,-23.627521,-46.7317909,608346,3
14856,3.0,2.0,83,-23.5692856,-46.5950113,587692,1
10337,3.0,2.0,220,-23.5683822,-46.6519321,2730100,3
11115,4.0,4.0,291,-23.6347054,-46.7146293,2888350,3
17336,3.0,5.0,378,-23.5708525,-46.6345666,3200110,2
9944,3.0,1.0,100,-23.5728057,-46.6576224,1107810,3
16552,4.0,3.0,430,-23.6019937,-46.6669532,4868340,3
6098,4.0,5.0,255,-23.6067234,-46.6348697,2303140,3
5757,3.0,1.0,80,-23.6312749,-46.6390457,599234,2
4954,6.0,4.0,440,-23.5368944,-46.6549687,3967850,3
1257,4.0,3.0,142,-23.5271479,-46.7355417,1437950,3
4244,3.0,2.0,106,-23.5418265,-46.6606603,1584710,3
6514,2.0,1.0,71,-23.60615,-46.623675,625283,3
8935,3.0,1.0,430,-23.5825943,-46.678847,3947850,2
4321,3.0,2.0,258,-23.5387597,-46.6602467,3007200,3
5,3.0,3.0,263,-23.538433,-46.682842,2856010,3
7513,3.0,2.0,125,-23.5356739,-46.660474,1446180,3
14520,1.0,1.0,55,-23.5963185,-46.6438408,330533,1
12390,1.0,1.0,129,-23.6176824,-46.6949631,1525130,1
15201,5.0,5.0,455,-23.5970369,-46.6746063,7930360,2
6558,2.0,1.0,65,-23.6227833,-46.6378123,540126,3
1541,3.0,2.0,117,-23.5332298,-46.7147955,899648,1
16072,2.0,2.0,65,-23.6058195,-46.6652195,957808,3
12852,4.0,4.0,250,-23.6140411,-46.7056731,1606740,2
10776,3.0,1.0,160,-23.5657564,-46.6652568,2093040,3
55,3.0,2.0,333,-23.5242893,-46.6928267,2350090,3
14971,2.0,2.0,134,-23.5767992,-46.6056694,1293740,2
7051,3.0,1.0,124,-23.5867232,-46.626853,798334,3
3922,4.0,4.0,280,-23.5946243,-46.6668023,5653270,3
16912,3.0,3.0,150,-23.5618907,-46.6656575,2327820,1
3368,3.0,1.0,110,-23.5634142,-46.6838021,1151470,2
8776,4.0,3.0,181,-23.5810316,-46.6714473,2317940,3
5860,4.0,4.0,380,-23.617236,-46.623755,2340470,3
6680,3.0,2.0,85,-23.6004862,-46.6338186,971265,2
14043,2.0,1.0,78,-23.578137,-46.642555,663460,3
8403,4.0,4.0,350,-23.5097595,-46.6507406,2595440,2
16989,3.0,1.0,235,-23.5629352,-46.6685643,2999830,1
10115,2.0,1.0,63,-23.5674859,-46.6530266,1018150,3
8308,1.0,1.0,42,-23.535388,-46.65615,466477,2
13541,1.0,1.0,45,-23.5715729,-46.6464213,488385,3
2538,3.0,2.0,130,-23.6232987,-46.673502,1171780,1
12570,4.0,3.0,184,-23.6199906,-46.7372573,2192960,3
15042,2.0,1.0,60,-23.558018,-46.5963527,338986,1
8460,2.0,1.0,90,-23.535406,-46.65653,774174,3
11757,2.0,2.0,60,-23.6126108,-46.6878865,743420,3
13841,4.0,4.0,240,-23.5853047,-46.6433672,2134520,3
1980,3.0,2.0,98,-23.6411764,-46.670547,776511,3
1288,2.0,1.0,89,-23.5524709,-46.6900268,861026,3
13415,3.0,4.0,217,-23.5933158,-46.6306592,2584340,3
4762,2.0,2.0,80,-23.5411395,-46.6573473,896511,3
17549,3.0,2.0,120,-23.5713184,-46.6349529,832444,2
1730,3.0,5.0,602,-23.55068,-46.719099,6953510,3
4207,3.0,4.0,205,-23.5473717,-46.6606654,2386260,3
11196,2.0,2.0,145,-23.623195,-46.735993,1486190,3
14639,2.0,3.0,113,-23.5617433,-46.6765867,1685060,3
13898,2.0,2.0,85,-23.5982549,-46.6331534,441420,3
14506,4.0,2.0,167,-23.5744021,-46.6480918,1365730,3
15633,3.0,2.0,93,-23.6038657,-46.6437842,1012560,2
5968,3.0,3.0,126,-23.6112391,-46.6213643,1128210,3
1602,4.0,3.0,263,-23.54965,-46.718573,3532170,2
12370,6.0,15.0,1975,-23.6214007,-46.7093359,22220900,3
15141,3.0,3.0,171,-23.556137,-46.6044715,1149150,2
14368,2.0,1.0,105,-23.5713342,-46.6479585,1208720,2
2127,3.0,2.0,120,-23.621076,-46.6750393,1284990,2
12042,4.0,4.0,336,-23.5911488,-46.719962,3543890,3
10214,3.0,1.0,101,-23.5594166,-46.6476244,944675,3
458,3.0,3.0,120,-23.5316334,-46.7304957,1369060,2
13487,2.0,1.0,63,-23.5726281,-46.6429977,549257,3
15400,3.0,3.0,198,-23.5994657,-46.6800771,2780610,3
10181,4.0,3.0,364,-23.5714377,-46.6623503,3706360,2
13006,1.0,1.0,50,-23.6257411,-46.7012065,564010,2
3507,2.0,1.0,60,-23.6035405,-46.6737516,783831,3
6983,1.0,1.0,38,-23.560198,-46.6218485,487983,3
7306,3.0,2.0,122,-23.4957853,-46.6292165,930991,3
1925,4.0,3.0,200,-23.6235717,-46.6748657,1978080,2
11155,2.0,2.0,87,-23.6134788,-46.6840838,791184,3
2587,2.0,1.0,80,-23.619401,-46.6755154,812326,3
1808,1.0,2.0,134,-23.5524617,-46.6993093,1747680,3
1805,2.0,1.0,75,-23.5491217,-46.6880095,725584,3
17879,3.0,2.0,145,-23.5507585,-46.5760479,736955,2
9379,3.0,4.0,207,-23.5868535,-46.6856056,2714530,3
7901,4.0,3.0,200,-23.5343875,-46.6664419,1931540,3
5481,2.0,1.0,90,-23.542832,-46.677318,787823,2
3176,2.0,2.0,100,-23.5657533,-46.6845174,967914,2
8129,2.0,1.0,82,-23.5291358,-46.6786054,575952,3
15836,1.0,1.0,54,-23.6028129,-46.6623808,676608,2
625,3.0,3.0,155,-23.528427,-46.6852243,1555530,3
8384,2.0,1.0,80,-23.5376571,-46.6776577,684187,2
2866,2.0,1.0,87,-23.6365613,-46.6946338,581612,2
14552,1.0,1.0,66,-23.5908284,-46.634114,927942,3
382,3.0,2.0,186,-23.5266731,-46.7064627,1096510,1
12545,1.0,1.0,54,-23.6176824,-46.6949631,638427,3
7912,3.0,4.0,181,-23.5343784,-46.6713461,2059670,2
8417,4.0,6.0,508,-23.5371104,-46.6698175,8561820,3
7442,3.0,4.0,320,-23.5333561,-46.6641897,2341220,2
16114,1.0,1.0,50,-23.6050123,-46.6681614,515301,3
4782,4.0,3.0,608,-23.5427823,-46.6601748,6501610,3
9086,2.0,1.0,97,-23.5837639,-46.6812503,1254710,3
15419,2.0,1.0,72,-23.592541,-46.6775899,651047,3
8428,4.0,3.0,214,-23.4931113,-46.6289441,2047930,2
1179,3.0,1.0,70,-23.5741875,-46.7260751,392643,3
6309,2.0,1.0,54,-23.605607,-46.620094,451672,3
13186,3.0,2.0,84,-23.5922364,-46.6472276,1059910,3
16767,3.0,2.0,96,-23.6044126,-46.6657267,968775,2
269,3.0,1.0,82,-23.573979,-46.7365998,493958,2
16117,3.0,2.0,98,-23.602778,-46.6673414,1438680,3
1985,3.0,2.0,137,-23.6262129,-46.6744411,1971100,1
1639,3.0,2.0,205,-23.532598,-46.685157,2318640,2
8105,1.0,1.0,44,-23.5401932,-46.6785599,433975,3
10682,4.0,3.0,245,-23.5683739,-46.6623154,3594180,2
2980,3.0,1.0,167,-23.5592611,-46.6827549,2282360,2
1969,2.0,1.0,50,-23.6467203,-46.6659862,425871,1
10479,3.0,2.0,155,-23.5725935,-46.6565657,2198120,3
402,2.0,1.0,60,-23.585238,-46.7364149,347312,2
9075,1.0,1.0,46,-23.5823531,-46.6847935,765647,3
4084,1.0,1.0,45,-23.550871,-46.6535074,388696,3
9037,3.0,2.0,300,-23.5791937,-46.6925563,3928350,1
2693,4.0,4.0,242,-23.6241529,-46.6751668,3218320,3
5753,3.0,2.0,220,-23.606603,-46.623249,1253160,2
11540,3.0,1.0,58,-23.6106232,-46.7262278,322568,3
5340,4.0,2.0,250,-23.5448204,-46.6533502,2924160,3
11553,2.0,2.0,80,-23.611516,-46.6928988,1091040,3
3814,4.0,3.0,300,-23.6040427,-46.6737989,2991510,3
16333,2.0,1.0,78,-23.625852,-46.662707,786361,2
6542,3.0,2.0,117,-23.5962255,-46.603801,869910,3
13388,1.0,1.0,54,-23.5775499,-46.6482935,608367,3
13280,3.0,1.0,89,-23.574142,-46.638549,1024540,3
7673,4.0,4.0,230,-23.5368074,-46.6668152,2959240,3
16993,3.0,2.0,200,-23.557916,-46.6633,2502380,1
1022,4.0,6.0,452,-23.5507556,-46.7195476,8715540,2
15736,2.0,1.0,104,-23.6029902,-46.6658417,1023790,3
6690,2.0,1.0,56,-23.6202796,-46.6372109,591018,3
266,2.0,1.0,104,-23.5374814,-46.6830035,1005150,2
5590,2.0,1.0,83,-23.5559647,-46.6765958,704697,2
8964,4.0,2.0,173,-23.5812174,-46.6711621,1888150,3
12023,3.0,3.0,225,-23.602792,-46.6947674,2910360,3
15094,3.0,1.0,68,-23.5549461,-46.589734,464503,1
11164,4.0,2.0,160,-23.6257089,-46.73662,1012320,3
11153,4.0,5.0,421,-23.6330678,-46.7061112,4547450,3
3503,4.0,2.0,161,-23.6006766,-46.6695586,1237950,3
17806,3.0,2.0,80,-23.5538576,-46.57173,444268,2
10748,3.0,2.0,230,-23.5632602,-46.6644871,3262340,3
9637,3.0,2.0,139,-23.5585093,-46.6555847,2073960,3
7645,3.0,2.0,93,-23.5181426,-46.6654908,1089690,3
1052,3.0,2.0,147,-23.5352312,-46.6857807,1377970,3
13613,4.0,2.0,200,-23.5880262,-46.6435937,2055840,3
12497,3.0,2.0,122,-23.6308918,-46.7336491,801016,3
15725,3.0,2.0,179,-23.6074418,-46.664583,3139120,3
2468,4.0,6.0,430,-23.6160194,-46.6810369,5979020,3
7078,4.0,4.0,275,-23.5704454,-46.628767,3680340,2
7988,4.0,2.0,132,-23.520047,-46.6660187,1351140,3
8817,2.0,2.0,70,-23.5860275,-46.6763059,873504,3
3828,4.0,2.0,160,-23.602605,-46.671411,1499780,3
410,2.0,1.0,78,-23.5317146,-46.684745,601284,2
10201,3.0,1.0,182,-23.569663,-46.650804,1876960,3
184,2.0,2.0,113,-23.5439364,-46.6851682,955273,2
12920,3.0,3.0,200,-23.636288,-46.7141,1779470,3
460,2.0,1.0,53,-23.5771879,-46.7325529,370384,3
14668,4.0,2.0,240,-23.5582025,-46.6791793,2163120,3
4176,4.0,6.0,480,-23.5454866,-46.6549284,4306500,2
1517,4.0,2.0,144,-23.538955,-46.682172,1262990,2
15497,3.0,1.0,105,-23.5941681,-46.6762746,879705,3
2049,2.0,1.0,70,-23.6384153,-46.6692387,501133,3
13601,3.0,2.0,115,-23.5916274,-46.6335675,1058540,3
1563,2.0,1.0,110,-23.5517382,-46.691224,1064190,2
5732,4.0,3.0,213,-23.5920622,-46.6077553,2065020,3
11269,4.0,3.0,258,-23.6256943,-46.7183279,3074910,3
41,3.0,1.0,80,-23.5354616,-46.6826897,773193,3
12184,4.0,6.0,474,-23.6064711,-46.6902922,6459590,2
13241,3.0,2.0,180,-23.5704961,-46.6476324,1715790,2
8290,3.0,3.0,220,-23.5332295,-46.681096,2201040,2
4725,1.0,1.0,48,-23.5512897,-46.6538025,486287,3
2748,4.0,4.0,475,-23.619145,-46.677498,3344690,2
13227,4.0,2.0,210,-23.5728844,-46.6470203,1533360,1
6091,2.0,1.0,65,-23.5903107,-46.6134172,483283,2
6457,2.0,1.0,45,-23.6008436,-46.6207938,296055,3
15299,3.0,1.0,92,-23.595029,-46.6748796,1134790,3
5418,2.0,1.0,49,-23.5548304,-46.6770225,560475,3
17690,2.0,1.0,50,-23.5387806,-46.5723926,343781,2
1770,4.0,3.0,182,-23.5404437,-46.6809437,1795080,2
1575,2.0,2.0,64,-23.5465714,-46.6921247,894673,2
12330,2.0,1.0,61,-23.637259,-46.735318,401444,3
5289,1.0,1.0,41,-23.5513087,-46.6608197,612954,3
7343,3.0,1.0,190,-23.5389482,-46.6682585,2295510,3
6460,2.0,1.0,63,-23.5995215,-46.6308465,751645,3
15917,1.0,1.0,48,-23.6319076,-46.6425079,275422,3
2231,3.0,2.0,125,-23.6459604,-46.6687748,1064680,3
17398,3.0,2.0,139,-23.565769,-46.642904,1897310,3
2607,2.0,2.0,75,-23.6455667,-46.7019597,858212,2
7941,2.0,2.0,69,-23.5286414,-46.6844167,662942,3
12450,3.0,3.0,151,-23.6129193,-46.6828615,1647110,3
10015,4.0,2.0,400,-23.5602722,-46.6565884,3337360,3
7303,3.0,1.0,180,-23.5384456,-46.6688344,1463810,2
11329,2.0,2.0,85,-23.6118306,-46.7059744,565126,3
15041,4.0,4.0,127,-23.5856123,-46.6038156,1145270,3
15835,3.0,2.0,180,-23.6015811,-46.645289,1860540,3
9986,3.0,1.0,150,-23.5658957,-46.6488843,1268290,3
16094,3.0,3.0,255,-23.5995372,-46.661377,3306760,2
5782,3.0,3.0,220,-23.5954484,-46.6271715,2437540,3
4164,1.0,1.0,22,-23.5516807,-46.6545494,250009,3
16127,4.0,5.0,473,-23.5997105,-46.6605706,10912000,3
8035,4.0,4.0,196,-23.533033,-46.67824,2541250,3
7872,2.0,1.0,68,-23.499826,-46.6377662,415947,3
2794,3.0,2.0,112,-23.6472847,-46.667403,957776,3
2287,2.0,1.0,70,-23.6382579,-46.6653795,463297,2
5550,2.0,1.0,85,-23.5443604,-46.6760489,692644,3
9652,4.0,5.0,400,-23.5640446,-46.6608625,7505400,3
10407,1.0,1.0,32,-23.5683698,-46.6555783,377531,2
13845,2.0,1.0,71,-23.5751431,-46.6469217,985176,2
15902,3.0,1.0,110,-23.6073144,-46.6587265,1309920,2
4020,4.0,5.0,575,-23.5908455,-46.6704021,9074390,3
8668,3.0,1.0,105,-23.5878561,-46.6725184,1151640,3
9073,3.0,1.0,110,-23.578927,-46.6856223,1095460,3
16853,3.0,2.0,368,-23.5624332,-46.6702581,7056070,3
8869,3.0,1.0,138,-23.5791921,-46.6752642,1409930,3
15501,2.0,1.0,90,-23.5950382,-46.6753514,969178,2
11175,4.0,6.0,380,-23.6061164,-46.7044439,3104310,3
5914,2.0,1.0,63,-23.6278503,-46.6340709,441750,2
12216,4.0,2.0,320,-23.6117297,-46.6812441,2950500,3
2658,4.0,3.0,300,-23.617215,-46.676077,2957200,2
9572,3.0,1.0,145,-23.5727139,-46.6596735,1961960,2
7768,3.0,6.0,326,-23.5327054,-46.6676874,4498390,2
9255,3.0,2.0,170,-23.5806498,-46.6737666,2201750,1
9881,3.0,2.0,110,-23.557881,-46.65529,843845,3
16228,3.0,2.0,220,-23.6118517,-46.6593718,2246080,3
13960,2.0,2.0,73,-23.583627,-46.634284,937441,3
13218,4.0,3.0,231,-23.5838508,-46.6392392,3130270,3
16098,3.0,3.0,206,-23.6078741,-46.6588267,2332500,2
15983,3.0,3.0,234,-23.6187205,-46.6645516,2102750,3
11677,2.0,2.0,65,-23.6011079,-46.7161175,798013,3
17845,3.0,2.0,98,-23.5575566,-46.5757681,830957,3
3657,3.0,4.0,357,-23.5935822,-46.6703314,4783020,3
5985,2.0,1.0,62,-23.6347762,-46.6366654,736518,3
10614,2.0,1.0,100,-23.5705885,-46.652962,1193600,3
2971,4.0,3.0,242,-23.5611284,-46.6908237,3017890,3
10659,4.0,4.0,220,-23.572414,-46.6607317,4295100,3
16529,4.0,8.0,620,-23.6061439,-46.6553353,6994010,3
11819,4.0,3.0,280,-23.6060812,-46.7063798,1971790,1
15277,1.0,1.0,42,-23.594433,-46.6806411,718273,3
9318,1.0,3.0,144,-23.5862506,-46.686001,2931240,2
5440,4.0,4.0,254,-23.5517042,-46.679777,2668560,3
11174,4.0,4.0,455,-23.6216728,-46.7338249,3249830,3
3120,4.0,6.0,624,-23.5621336,-46.7002073,9165630,2
11644,1.0,1.0,48,-23.623195,-46.735993,491980,3
12072,3.0,4.0,283,-23.6131532,-46.7061489,2311060,3
10519,3.0,2.0,120,-23.5659802,-46.6588386,1760410,3
11297,3.0,4.0,253,-23.6128862,-46.7070577,1824460,1
455,3.0,2.0,123,-23.5263635,-46.7073981,726357,1
6354,3.0,2.0,82,-23.5995401,-46.6225694,702828,3
15043,2.0,1.0,55,-23.5564383,-46.594687,338914,1
17425,3.0,1.0,181,-23.5640729,-46.6446839,1874810,2
1598,4.0,4.0,343,-23.5253036,-46.732747,3843370,3
8318,4.0,4.0,270,-23.5364668,-46.6795653,2690830,2
